==================================================
📡 SNOOPER SPI BK4829 INICIADO
Escuchando tráfico en /dev/ttyUSB0 a 115200 baudios...
==================================================
[11:45:11] BK4829_WriteReg(0x19, 0x1041);
[11:45:11] BK4829_WriteReg(0x7D, 0xE952);
[11:45:11] BK4829_WriteReg(0x48, 0x2340);
[11:45:11] BK4829_WriteReg(0x30, 0xBFF1);
[11:45:11] BK4829_WriteReg(0x30, 0x0000);
[11:45:11] BK4829_WriteReg(0x38, 0xC83D);
[11:45:11] BK4829_WriteReg(0x39, 0x0294);
[11:45:11] BK4829_WriteReg(0x43, 0x3028);
[11:45:11] BK4829_WriteReg(0x78, 0x2040);
[11:45:11] BK4829_WriteReg(0x51, 0x904B);
[11:45:11] BK4829_WriteReg(0x07, 0x0471);
[11:45:11] BK4829_WriteReg(0x07, 0x21CD);
[11:45:11] BK4829_WriteReg(0x52, 0x0292);
[11:45:11] BK4829_WriteReg(0x31, 0x0000);
[11:45:11] BK4829_WriteReg(0x40, 0x34E0);
[11:45:11] BK4829_WriteReg(0x30, 0xBFF1);
[11:45:11] BK4829_WriteReg(0x00, 0x0000);
[11:45:11] BK4829_WriteReg(0x37, 0x9F1F);
[11:45:11] BK4829_WriteReg(0x36, 0x0022);
[11:45:11] BK4829_WriteReg(0x10, 0x0318);
[11:45:11] BK4829_WriteReg(0x11, 0x033A);
[11:45:11] BK4829_WriteReg(0x12, 0x03DB);
[11:45:11] BK4829_WriteReg(0x13, 0x03DF);
[11:45:11] BK4829_WriteReg(0x14, 0x0210);
[11:45:11] BK4829_WriteReg(0x49, 0x2AB2);
[11:45:11] BK4829_WriteReg(0x7B, 0x73DC);
[11:45:11] BK4829_WriteReg(0x40, 0x3516);
[11:45:11] BK4829_WriteReg(0x1C, 0x07C0);
[11:45:11] BK4829_WriteReg(0x1D, 0xE555);
[11:45:11] BK4829_WriteReg(0x1E, 0x4C58);
[11:45:11] BK4829_WriteReg(0x1F, 0xC65A);
