==================================================
📡 SNOOPER SPI BK4829 INICIADO
Escuchando tráfico en /dev/ttyUSB0 a 115200 baudios...
==================================================

Snooper detenido por el usuario.
==================================================
📡 SNOOPER SPI BK4829 INICIADO
Escuchando tráfico en /dev/ttyUSB0 a 115200 baudios...
==================================================

Snooper detenido por el usuario.
==================================================
📡 SNOOPER SPI BK4829 INICIADO
Escuchando tráfico en /dev/ttyUSB0 a 115200 baudios...
==================================================
[12:21:15] BK4829_WriteReg(0x09, 0x5047);
[12:21:15] BK4829_WriteReg(0x09, 0x603A);
[12:21:15] BK4829_WriteReg(0x09, 0x702C);
[12:21:15] BK4829_WriteReg(0x09, 0x8041);
[12:21:15] BK4829_WriteReg(0x09, 0x9037);
[12:21:15] BK4829_WriteReg(0x09, 0xA025);
[12:21:15] BK4829_WriteReg(0x09, 0xB017);
[12:21:15] BK4829_WriteReg(0x09, 0xC0E4);
[12:21:15] BK4829_WriteReg(0x09, 0xD0CB);
[12:21:15] BK4829_WriteReg(0x09, 0xE0B5);
[12:21:15] BK4829_WriteReg(0x09, 0xF09F);
[12:21:15] BK4829_WriteReg(0x72, 0x3065);
[12:21:15] BK4829_WriteReg(0x5C, 0x5665);
[12:21:15] BK4829_WriteReg(0x5D, 0x0F00);
[12:21:15] BK4829_WriteReg(0x01, 0x3FF0);
[12:21:15] BK4829_WriteReg(0x19, 0x1041);
[12:21:15] BK4829_WriteReg(0x7D, 0xE952);
[12:21:15] BK4829_WriteReg(0x48, 0x2340);
[12:21:15] BK4829_WriteReg(0x30, 0xBFF1);
[12:21:15] BK4829_WriteReg(0x30, 0x0000);
[12:21:15] BK4829_WriteReg(0x38, 0xC83D);
